"","Timepoint","Mouse"
"MOUSE_CELL_1316","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1318","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1322","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1326","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1336","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1337","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1339","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1343","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1354","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1364","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1379","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1381","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1382","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1383","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1384","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1392","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1397","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1403","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1405","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1408","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1409","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1417","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1420","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1421","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1423","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1424","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1428","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1435","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1439","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1443","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1446","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1471","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1478","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1481","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1485","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1496","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1504","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1512","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1520","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1523","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1526","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1527","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1529","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1532","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1537","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1542","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1545","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1547","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1549","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1555","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1557","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1563","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1571","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1573","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1577","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1585","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1589","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1591","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1593","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1595","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1598","uninjured","uninjured_mouse_id_55"
