gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
RPL35A1,1.27290169489496E-116,0.481961588808863,0.82,0.401,6.07008631244559E-112,4
PLXNB21,1.1454518430051E-116,0.992489760286709,0.401,0.136,5.46231620373844E-112,5
CD82,8.27868096003182E-117,1.37526244979972,0.342,0.13,3.94785458941037E-112,3
SAMD9,7.07331940668595E-117,0.956352803836347,0.384,0.132,3.37305382546633E-112,4
HLA-DPA11,5.28959800389714E-117,2.58977607595435,0.441,0.11,2.52245060011843E-112,7
TIMELESS,5.19182325544275E-117,3.20769750215371,0.306,0.017,2.47582475582298E-112,8
CYLD,3.6006539494238E-117,1.23734835587137,0.263,0.071,1.71704384886173E-112,4
NEAT12,2.963030973957E-117,1.16657694345874,0.779,0.474,1.41298058055087E-112,5
PSAP,2.85529278108208E-117,2.76304118902954,0.567,0.184,1.36160346851461E-112,7
MLLT6,1.32429332581396E-117,1.29284127038589,0.252,0.065,6.31515758280903E-113,4
ACTG11,1.29373794541722E-117,0.587732670228934,0.775,0.366,6.16944814031109E-113,4
GTF3A,1.26841926200028E-117,1.25349211884883,0.274,0.076,6.04871093470073E-113,4
HLA-B1,1.10168078235429E-117,0.596179455483394,0.945,0.571,5.2535851468129E-113,4
RPS161,5.01417530616581E-118,0.5884272205675,0.643,0.278,2.39110977825129E-113,4
ENSG00000218175,3.84196486494792E-118,1.41227968562943,0.315,0.11,1.83211778514771E-113,3
RPL7A1,2.94048885785527E-118,0.781673984878635,0.46,0.173,1.40223092164544E-113,4
SFPQ1,2.72652518259467E-118,0.742439608233503,0.611,0.272,1.30019806382392E-113,4
HNRNPA2B11,1.9748389448938E-118,0.694544280233876,0.714,0.342,9.41741447651508E-114,4
LITAF1,1.09057100037954E-118,1.01331250353058,0.384,0.132,5.20060592950989E-114,4
GOLGB12,6.90464339404882E-119,0.957499629616557,0.651,0.315,3.29261729532006E-114,5
MCM5,5.70891704118132E-119,3.51068265177233,0.355,0.023,2.72241126942814E-114,8
MUC201,3.7315568499709E-119,1.07200476424891,0.327,0.096,1.77946751504562E-114,5
TAF1D1,3.39089162437018E-119,1.05969209822495,0.417,0.152,1.61701448891341E-114,4
ARMC31,3.27819116550224E-119,2.20029399318071,0.253,0.083,1.56327102109305E-114,2
RGS12,2.524223383872E-119,2.2245517616229,0.532,0.152,1.20372640506704E-114,7
RNF145,1.35431113289719E-119,1.15119880361358,0.288,0.078,6.45830349944682E-115,5
DST,7.61870181494095E-120,4.78137691967955,0.454,0.037,3.63313033449089E-115,9
RIPOR2,2.14318304196193E-120,1.67229094709854,0.273,0.086,1.02201969722039E-115,3
RPL41,1.00713442639526E-120,0.652674323702366,0.58,0.237,4.80272193915105E-116,4
PTP4A21,9.89186284176845E-121,0.853119272689442,0.412,0.145,4.71713263335412E-116,4
MX2,3.63895689448277E-121,1.3250410877475,0.315,0.092,1.735309374272E-116,5
RPL151,2.55909194855076E-121,0.654469234346636,0.563,0.231,1.2203541775054E-116,4
BCAS11,1.6449344650978E-121,0.99949147436268,0.356,0.108,7.84419898371188E-117,5
MSN,1.47574624208786E-121,1.65434450152687,0.267,0.081,7.03739110464436E-117,3
STK17B,1.01743303307926E-121,1.13762666025018,0.423,0.171,4.85183290484506E-117,3
MT-RNR1,8.38271088331939E-122,0.430903247378887,0.977,0.985,3.99746333892852E-117,0
IER5,6.01684877317184E-122,3.1531770129883,0.413,0.095,2.86925467446245E-117,7
SPA17,5.13649778282648E-122,0.650029967196292,0.259,0.079,2.44944169769646E-117,1
ARAP2,2.59961537125159E-122,1.1677564580536,0.316,0.093,1.23967858208875E-117,4
RPL10A1,2.42630678505965E-122,0.660590307251236,0.571,0.234,1.1570329165914E-117,4
GNAI2,2.38204676018025E-122,1.24736490726294,0.272,0.072,1.13592663852716E-117,4
PDIA3,1.5946363328242E-122,1.01894797748178,0.462,0.173,7.60434228033876E-118,5
MACF1,1.14514362619818E-122,0.913200962192741,0.392,0.166,5.46084641025124E-118,1
TMC52,5.73633657943897E-123,0.607312698352084,0.635,0.25,2.73548682463706E-118,5
UBC1,4.24345476084055E-123,0.648952854928103,0.711,0.322,2.02357627180204E-118,4
SMARCA5,2.63317332535244E-123,0.84991070427034,0.41,0.144,1.25568136366082E-118,4
LDLRAD4,2.63289674853203E-123,1.57831117325826,0.264,0.069,1.25554947247247E-118,4
TFCP2L11,1.61514981240553E-123,3.7939156133762,0.555,0.053,7.70216491041824E-119,9
RPL351,1.19880587569654E-123,0.580632004266767,0.687,0.294,5.71674557943411E-119,4
S100A111,2.57418446262559E-124,0.788160304428066,0.411,0.135,1.22755134469226E-119,5
CCNL11,1.99338387730137E-124,1.03428031281081,0.41,0.144,9.50584969568706E-120,4
PLAAT4,1.27174778102021E-124,0.890439905549741,0.399,0.134,6.06458364335107E-120,4
